m,f
accueillant,accueillante
actuel,actuelle
adorable,adorable
agréable,agréable
agressif,agressive
altéré,altérée
ambitieux,ambitieuse
amer,amère
amoureux,amoureuse
amusé,amusée
ancien,ancienne
annuel,annuelle
antique,antique
anxieux,anxieuse
argenté,argentée
attrayant,attrayant
avancé,avancée
avare,avare
azuré,azurée
beau,belle
bienfaisant,bienfaisant
blanc,blanche
bleu,bleue
blond,blonde
bourru,bourrue
brave,brave
bref,brève
brillant,brillante
brun,brune
calme,calme
carré,carrée
chair de poule,chair de poule
chaleureux,chaleureuse
chargé,chargée
châtain,châtain
choqué,choquée
circulaire,circulaire
clair,claire
collant,collante
colossal,colossale
combatif,combative
confiant,confiante
considérable,considérable
considéré,considérée
contemporain,contemporaine
coopératif,coopérative
coquin,coquine
costaud,costaude
coupable,coupable
cyan,cyan
débordé,débordée
décomposé,décomposée
dégoûté,dégoûtée
délectable,délectable
délicieux,délicieuse
déprimé,déprimée
désillusionné,désillusionnée
déterminé,déterminée
diligent,diligente
dominant,dominante
douceâtre,douceâtre
doué,douée
doux,douce
droit,droite
dur,dure
dynamique,dynamique
effrayé,effrayée
égoïste,égoïste
élégant,élégante
élevé,élevée
énervé,énervée
ennuyé,ennuyée
entraînant,entraînante
éparpillé,éparpillée
épicé,épicée
épuisé,épuisée
exaspéré,exaspérée
exquis,exquise
extatique,extatique
extra,extra
fâché,fâchée
farfelu,farfelue
fatigant,fatigante
fatigué,fatiguée
ferme,ferme
fidèle,fidèle
fier,fière
fin,fine
fourbe,fourbe
franc,franche
fréquent,fréquente
frustré,frustrée
gai,gaie
gêné,gênée
généreux,généreuse
gentil,gentille
géométrique,géométrique
glacé,glacée
grand,grande
grenat,grenat
harmonieux,harmonieuse
hésitant,hésitante
heureux,heureuse
hirsute,hirsute
illimité,illimitée
impartial,impartiale
important,importante
imposant,imposante
incalculable,incalculable
indisposé,indisposée
informé,informée
inquiet,inquiète
instinctif,instinctive
intrépide,intrépide
jeune,jeune
jovial,joviale
las,lasse
léger,légère
loufoque,loufoque
magenta,magenta
magnifique,magnifique
maladroit,maladroite
malicieux,malicieuse
marron,marron
mature,mature
mélancolique,mélancolique
menu,menue
merveilleux,merveilleuse
mince,mince
moderne,moderne
multiple,multiple
mystérieux,mystérieuse
nerveux,nerveuse
neuf,neuve
noir,noire
nombreux,nombreuse
nouveau,nouvelle
octogonal,octogonale
offensé,offensée
orange,orange
pacifique,pacifique
parfait,parfait
peiné,peinée
pentagonal,pentagonale
perçant,perçante
perplexe,perplexe
perturbé,perturbée
piquant,piquante
placide,placide
plaisant,plaisante
plat,plate
plein d'espoir,pleine d'espoir
ponctuel,ponctuelle
posé,posée
pourpre,pourpre
précipité,précipitée
prompt,prompte
protecteur,protectrice
prudent,prudente
rapide,rapide
ravissant,ravissante
récent,récente
rectangulaire,rectangulaire
réfléchi,réfléchie
regardant,regardant
rempli,remplie
répété,répétée
retentissant,retentissante
rieur,rieuse
rond,ronde
rose,rose
roux,rousse
sage,sage
salé,salée
séculaire,séculaire
séduisant,séduisante
serviable,serviable
silencieux,silencieuse
simple,simple
sincère,sincère
solitaire,solitaire
sombre,sombre
soucieux,soucieuse
souffrant,souffrante
soupçonneux,soupçonneuse
souple,souple
souriant,souriante
spirituel,spirituelle
splendide,splendide
substantiel,substantielle
sucré,sucrée
super,super
sûr,sûre
svelte,svelte
talentueux,talentueuse
tardif,tardive
tendu,tendue
terne,terne
timide,timide
tonnant,tonnante
tranchant,tranchante
tranquille,tranquille
triangulaire,triangulaire
triste,triste
trompeur,trompeuse
troublé,troublée
truculent,truculente
turquoise,turquoise
vert,verte
vif,vive
violet,violette
vivace,vivace
vorace,vorace